ip_version,country,scan_date,run_dir,total_scan_ips,quic_enable_ip_potential,input_targets,zmap_udp_raw_rows,zmap_tcp_raw_rows,zmap_udp_rows,zmap_tcp_rows,zmap_quic_success_rows,zmap_quic_success_unique_ips,zdns_rows,qscanner_targets,qscanner_target_unique_ips,qscanner_target_duplicate_rows,qscanner_total,qscanner_success,qscanner_error,qscanner_unique_addresses,qscanner_success_unique_addresses,qscanner_error_unique_addresses,qscanner_duplicate_rows,qscanner_retry,http_header_rows,tls_certificate_rows,tls_shared_config_rows,quic_shared_config_rows,qscanner_success_rate,qscanner_unique_success_rate
ipv4,brunei,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv4\output\brunei-2026-04-25,216064,143,37,1,142,1,90,0,0,143,441,143,298,441,0,441,143,0,143,298,0,0,0,0,0,0.0,0.0
ipv4,cambodia,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv4\output\cambodia-2026-04-25,499456,1674,285,83,1630,83,218,0,0,1674,1674,1674,0,1674,71,1603,1674,71,1603,0,0,0,49,71,71,0.042413,0.042413
ipv4,indonesia,2026-04-29,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv4\output\indonesia-2026-04-29,19240960,80992,6066,22149,60168,22095,6285,0,0,80992,87394,80992,6402,87394,18978,68416,80992,13284,67708,6402,158,0,7485,18978,18978,0.217154,0.164016
ipv4,laos,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv4\output\laos-2026-04-25,90688,418,61,48,422,48,142,0,0,418,418,418,0,448,10,438,448,10,438,0,0,0,13,10,10,0.022321,0.022321
ipv4,malaysia,2026-04-27,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv4\output\malaysia-2026-04-27,6699008,24100,903,5815,18692,5785,3079,0,0,24100,25771,24100,1671,25771,3772,21999,24100,2597,21503,1671,12,0,1985,3772,3772,0.146366,0.107759
ipv4,myanmar,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv4\output\myanmar-2026-04-25,245504,1647,234,888,801,888,162,0,0,1647,1647,1647,0,1647,392,1255,1647,392,1255,0,0,0,25,392,392,0.238009,0.238009
ipv4,philippines,2026-04-28,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv4\output\philippines-2026-04-28,6249984,26647,884,7235,20375,7213,1878,0,0,26647,26663,26647,16,26663,3941,22722,26647,3941,22706,16,9,0,597,3941,3941,0.147808,0.147897
ipv4,singapore,2026-04-26,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv4\output\singapore-2026-04-26,27601920,480923,1772,80319,415636,80297,375574,0,0,480923,488458,480923,7535,488458,24478,463980,480923,21419,459504,7535,259,0,13484,24478,24478,0.050113,0.044537
ipv4,thailand,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv4\output\thailand-2026-04-25,9216512,27088,1165,9285,18942,9262,6128,0,0,27088,27494,27088,406,27494,5221,22273,27088,5104,21984,406,20,0,1098,5221,5221,0.189896,0.188423
ipv4,timorleste,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv4\output\timorleste-2026-04-25,28672,368,38,44,371,44,110,0,0,368,368,368,0,368,2,366,368,2,366,0,0,0,3,2,2,0.005435,0.005435
ipv4,vietnam,2026-04-28,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv4\output\vietnam-2026-04-28,16486912,58278,1636,21353,39546,21302,10772,0,0,58278,66266,58278,7988,66266,18885,47381,58278,11498,46780,7988,199,0,7717,18885,18885,0.284988,0.197296
ipv6,brunei,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv6\output\brunei-2026-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
ipv6,cambodia,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv6\output\cambodia-2026-04-25,500,120,120,0,0,0,0,120,120,120,120,120,0,120,120,0,120,120,0,0,0,0,23,120,120,1.0,1.0
ipv6,indonesia,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv6\output\indonesia-2026-04-25,34325,2153,2153,0,0,0,0,2153,2153,2153,2153,2153,0,2153,2106,47,2153,2106,47,0,19,0,341,2106,2106,0.97817,0.97817
ipv6,laos,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv6\output\laos-2026-04-25,257,40,40,0,0,0,0,40,40,40,40,40,0,40,40,0,40,40,0,0,0,0,16,40,40,1.0,1.0
ipv6,malaysia,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv6\output\malaysia-2026-04-25,31388,1034,1034,0,0,0,0,1035,1034,1034,1034,1034,0,1034,785,249,1034,785,249,0,0,0,114,785,785,0.759188,0.759188
ipv6,myanmar,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv6\output\myanmar-2026-04-25,1046,53,53,0,0,0,0,53,53,53,53,53,0,53,52,1,53,52,1,0,0,0,3,52,52,0.981132,0.981132
ipv6,philippines,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv6\output\philippines-2026-04-25,32473,1091,1091,0,0,0,0,1091,1091,1091,1091,1091,0,1091,989,102,1091,989,102,0,0,0,117,989,989,0.906508,0.906508
ipv6,singapore,2026-04-26,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv6\output\singapore-2026-04-26,43004,140,43004,0,0,0,0,140,140,43004,43004,43004,0,43004,1427,41577,43004,1427,41577,0,23,0,226,1427,1427,0.033183,0.033183
ipv6,thailand,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv6\output\thailand-2026-04-25,53151,2009,2009,0,0,0,0,2009,2009,2009,2009,2009,0,2009,1834,175,2009,1834,175,0,0,0,167,1834,1834,0.912892,0.912892
ipv6,timorleste,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv6\output\timorleste-2026-04-25,69,4,4,0,0,0,0,4,4,4,4,4,0,4,4,0,4,4,0,0,0,0,3,4,4,1.0,1.0
ipv6,vietnam,2026-04-25,\\wsl$\Ubuntu-22.04\home\trungnt\vn-quic-scanner-2026\ipv6\output\vietnam-2026-04-25,892643,3539,3539,0,0,0,0,3539,3539,3539,3539,3539,0,3539,3488,51,3539,3488,51,0,4,0,198,3488,3488,0.985589,0.985589
