ip_version,country,runs,total_scan_ips,quic_enable_ip_potential,input_targets,qscanner_targets,qscanner_target_unique_ips,qscanner_target_duplicate_rows,qscanner_total,qscanner_success,qscanner_error,qscanner_success_rate,qscanner_unique_addresses,qscanner_success_unique_addresses,qscanner_error_unique_addresses,qscanner_duplicate_rows,qscanner_unique_success_rate,qscanner_retry,http_header_rows,tls_certificate_rows,tls_shared_config_rows,quic_shared_config_rows
ipv4,brunei,1,216064,143,37,441,143,298,441,0,441,0.0,143,0,143,298,0.0,0,0,0,0,0
ipv4,cambodia,1,499456,1674,285,1674,1674,0,1674,71,1603,0.042413,1674,71,1603,0,0.042413,0,0,49,71,71
ipv4,indonesia,1,19240960,80992,6066,87394,80992,6402,87394,18978,68416,0.217154,80992,13284,67708,6402,0.164016,158,0,7485,18978,18978
ipv4,laos,1,90688,418,61,418,418,0,448,10,438,0.022321,448,10,438,0,0.022321,0,0,13,10,10
ipv4,malaysia,1,6699008,24100,903,25771,24100,1671,25771,3772,21999,0.146366,24100,2597,21503,1671,0.107759,12,0,1985,3772,3772
ipv4,myanmar,1,245504,1647,234,1647,1647,0,1647,392,1255,0.238009,1647,392,1255,0,0.238009,0,0,25,392,392
ipv4,philippines,1,6249984,26647,884,26663,26647,16,26663,3941,22722,0.147808,26647,3941,22706,16,0.147897,9,0,597,3941,3941
ipv4,singapore,1,27601920,480923,1772,488458,480923,7535,488458,24478,463980,0.050113,480923,21419,459504,7535,0.044537,259,0,13484,24478,24478
ipv4,thailand,1,9216512,27088,1165,27494,27088,406,27494,5221,22273,0.189896,27088,5104,21984,406,0.188423,20,0,1098,5221,5221
ipv4,timorleste,1,28672,368,38,368,368,0,368,2,366,0.005435,368,2,366,0,0.005435,0,0,3,2,2
ipv4,vietnam,1,16486912,58278,1636,66266,58278,7988,66266,18885,47381,0.284988,58278,11498,46780,7988,0.197296,199,0,7717,18885,18885
ipv6,brunei,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0
ipv6,cambodia,1,500,120,120,120,120,0,120,120,0,1.0,120,120,0,0,1.0,0,0,23,120,120
ipv6,indonesia,1,34325,2153,2153,2153,2153,0,2153,2106,47,0.97817,2153,2106,47,0,0.97817,19,0,341,2106,2106
ipv6,laos,1,257,40,40,40,40,0,40,40,0,1.0,40,40,0,0,1.0,0,0,16,40,40
ipv6,malaysia,1,31388,1034,1034,1034,1034,0,1034,785,249,0.759188,1034,785,249,0,0.759188,0,0,114,785,785
ipv6,myanmar,1,1046,53,53,53,53,0,53,52,1,0.981132,53,52,1,0,0.981132,0,0,3,52,52
ipv6,philippines,1,32473,1091,1091,1091,1091,0,1091,989,102,0.906508,1091,989,102,0,0.906508,0,0,117,989,989
ipv6,singapore,1,43004,140,43004,43004,43004,0,43004,1427,41577,0.033183,43004,1427,41577,0,0.033183,23,0,226,1427,1427
ipv6,thailand,1,53151,2009,2009,2009,2009,0,2009,1834,175,0.912892,2009,1834,175,0,0.912892,0,0,167,1834,1834
ipv6,timorleste,1,69,4,4,4,4,0,4,4,0,1.0,4,4,0,0,1.0,0,0,3,4,4
ipv6,vietnam,1,892643,3539,3539,3539,3539,0,3539,3488,51,0.985589,3539,3488,51,0,0.985589,4,0,198,3488,3488
