ip_version,country,scan_date,metric,status,value,rows,unique_ips
ipv4,cambodia,2026-04-25,ciphersuite,success,1301,68,68
ipv4,cambodia,2026-04-25,ciphersuite,success,1302,3,3
ipv4,cambodia,2026-04-25,keyShareGroup,success,29,71,71
ipv4,cambodia,2026-04-25,ALPN,success,h3,70,70
ipv4,cambodia,2026-04-25,ALPN,success,h3-29,1,1
ipv4,indonesia,2026-04-29,ciphersuite,success,1301,16665,12017
ipv4,indonesia,2026-04-29,ciphersuite,success,1302,1393,874
ipv4,indonesia,2026-04-29,ciphersuite,success,1303,920,393
ipv4,indonesia,2026-04-29,keyShareGroup,success,29,18978,13284
ipv4,indonesia,2026-04-29,ALPN,success,h3,18977,13283
ipv4,indonesia,2026-04-29,ALPN,success,h3-29,1,1
ipv4,laos,2026-04-25,ciphersuite,success,1301,8,8
ipv4,laos,2026-04-25,ciphersuite,success,1302,1,1
ipv4,laos,2026-04-25,ciphersuite,success,1303,1,1
ipv4,laos,2026-04-25,keyShareGroup,success,29,10,10
ipv4,laos,2026-04-25,ALPN,success,h3,10,10
ipv4,malaysia,2026-04-27,ciphersuite,success,1301,3388,2291
ipv4,malaysia,2026-04-27,ciphersuite,success,1302,177,177
ipv4,malaysia,2026-04-27,ciphersuite,success,1303,207,129
ipv4,malaysia,2026-04-27,keyShareGroup,success,29,3772,2597
ipv4,malaysia,2026-04-27,ALPN,success,h3,3772,2597
ipv4,myanmar,2026-04-25,ciphersuite,success,1301,347,347
ipv4,myanmar,2026-04-25,ciphersuite,success,1302,32,32
ipv4,myanmar,2026-04-25,ciphersuite,success,1303,13,13
ipv4,myanmar,2026-04-25,keyShareGroup,success,29,392,392
ipv4,myanmar,2026-04-25,ALPN,success,h3,392,392
ipv4,philippines,2026-04-28,ciphersuite,success,1301,3475,3475
ipv4,philippines,2026-04-28,ciphersuite,success,1302,455,455
ipv4,philippines,2026-04-28,ciphersuite,success,1303,11,11
ipv4,philippines,2026-04-28,keyShareGroup,success,29,3941,3941
ipv4,philippines,2026-04-28,ALPN,success,h3,3940,3940
ipv4,philippines,2026-04-28,ALPN,success,h3-29,1,1
ipv4,singapore,2026-04-26,ciphersuite,success,1301,20848,18246
ipv4,singapore,2026-04-26,ciphersuite,success,1302,3378,3107
ipv4,singapore,2026-04-26,ciphersuite,success,1303,252,66
ipv4,singapore,2026-04-26,keyShareGroup,success,29,24478,21419
ipv4,singapore,2026-04-26,ALPN,success,h3,22902,19997
ipv4,singapore,2026-04-26,ALPN,success,h3-29,1576,1422
ipv4,thailand,2026-04-25,ciphersuite,success,1301,4349,4246
ipv4,thailand,2026-04-25,ciphersuite,success,1302,776,764
ipv4,thailand,2026-04-25,ciphersuite,success,1303,96,94
ipv4,thailand,2026-04-25,keyShareGroup,success,29,5221,5104
ipv4,thailand,2026-04-25,ALPN,success,h3,5210,5093
ipv4,thailand,2026-04-25,ALPN,success,h3-29,11,11
ipv4,timorleste,2026-04-25,ciphersuite,success,1301,2,2
ipv4,timorleste,2026-04-25,keyShareGroup,success,29,2,2
ipv4,timorleste,2026-04-25,ALPN,success,h3,2,2
ipv4,vietnam,2026-04-28,ciphersuite,success,1301,17198,10038
ipv4,vietnam,2026-04-28,ciphersuite,success,1302,1351,1267
ipv4,vietnam,2026-04-28,ciphersuite,success,1303,336,193
ipv4,vietnam,2026-04-28,keyShareGroup,success,29,18885,11498
ipv4,vietnam,2026-04-28,ALPN,success,h3,18858,11476
ipv4,vietnam,2026-04-28,ALPN,success,h3-29,27,22
ipv6,cambodia,2026-04-25,ciphersuite,success,1301,120,120
ipv6,cambodia,2026-04-25,keyShareGroup,success,29,120,120
ipv6,cambodia,2026-04-25,ALPN,success,h3,120,120
ipv6,indonesia,2026-04-25,ciphersuite,success,1301,2026,2026
ipv6,indonesia,2026-04-25,ciphersuite,success,1302,80,80
ipv6,indonesia,2026-04-25,keyShareGroup,success,29,2106,2106
ipv6,indonesia,2026-04-25,ALPN,success,h3,2106,2106
ipv6,laos,2026-04-25,ciphersuite,success,1301,40,40
ipv6,laos,2026-04-25,keyShareGroup,success,29,40,40
ipv6,laos,2026-04-25,ALPN,success,h3,40,40
ipv6,malaysia,2026-04-25,ciphersuite,success,1301,785,785
ipv6,malaysia,2026-04-25,keyShareGroup,success,29,785,785
ipv6,malaysia,2026-04-25,ALPN,success,h3,785,785
ipv6,myanmar,2026-04-25,ciphersuite,success,1301,52,52
ipv6,myanmar,2026-04-25,keyShareGroup,success,29,52,52
ipv6,myanmar,2026-04-25,ALPN,success,h3,52,52
ipv6,philippines,2026-04-25,ciphersuite,success,1301,989,989
ipv6,philippines,2026-04-25,keyShareGroup,success,29,989,989
ipv6,philippines,2026-04-25,ALPN,success,h3,989,989
ipv6,singapore,2026-04-26,ciphersuite,success,1301,1262,1262
ipv6,singapore,2026-04-26,ciphersuite,success,1302,165,165
ipv6,singapore,2026-04-26,keyShareGroup,success,29,1427,1427
ipv6,singapore,2026-04-26,ALPN,success,h3,1426,1426
ipv6,singapore,2026-04-26,ALPN,success,h3-29,1,1
ipv6,thailand,2026-04-25,ciphersuite,success,1301,1813,1813
ipv6,thailand,2026-04-25,ciphersuite,success,1302,21,21
ipv6,thailand,2026-04-25,keyShareGroup,success,29,1834,1834
ipv6,thailand,2026-04-25,ALPN,success,h3,1834,1834
ipv6,timorleste,2026-04-25,ciphersuite,success,1301,4,4
ipv6,timorleste,2026-04-25,keyShareGroup,success,29,4,4
ipv6,timorleste,2026-04-25,ALPN,success,h3,4,4
ipv6,vietnam,2026-04-25,ciphersuite,success,1301,3481,3481
ipv6,vietnam,2026-04-25,ciphersuite,success,1302,7,7
ipv6,vietnam,2026-04-25,keyShareGroup,success,29,3488,3488
ipv6,vietnam,2026-04-25,ALPN,success,h3,3488,3488
